eps_c_MeVfm3,B_MeVfm3,Delta_MeV,epsilon_surface_MeVfm3,alpha,R_aniso_km,M_msun,R_km,compactness_2M_R,max_sigma_over_pr,NEC_pass,SEC_pass,DEC_pass,n_steps,status
1800.0,80,50,272.5273642590275,0.1,8.0,1.8464445511392225,9.7,0.5621832381115739,0.05951673097602631,True,True,True,388,ok
1850.0,80,50,272.5273642590275,0.1,8.0,1.8434406893978592,9.675,0.562718965013252,0.05939231229849823,True,True,True,387,ok
1900.0,80,50,272.5273642590275,0.1,8.0,1.835343359086691,9.625,0.5631575918966896,0.059142144638404,True,True,True,385,ok
1950.0,80,50,272.5273642590275,0.1,8.0,1.8329051035185,9.6,0.5638740443554744,0.05901639344262295,True,True,True,384,ok
2000.0,80,50,272.5273642590275,0.1,8.0,1.830171656050397,9.575,0.5645031882774094,0.058890195873764,True,True,True,383,ok
2050.0,80,50,272.5273642590275,0.1,8.0,1.8260028799279935,9.55,0.5646917504773697,0.05876355084486396,True,True,True,382,ok
2100.0,80,50,272.5273642590275,0.1,8.0,1.8169668785298836,9.5,0.5648547198182559,0.05850891410048622,True,True,True,380,ok
2150.0,80,50,272.5273642590275,0.1,8.0,1.8135354681839722,9.475,0.5652755376214057,0.05838092025312855,True,True,True,379,ok
2200.0,80,50,272.5273642590275,0.1,8.0,1.8098977775115423,9.45,0.5656341146920799,0.05825247468240896,True,True,True,378,ok
400.0,80,50,272.5273642590275,0.2,8.0,1.0866064450138533,9.675,0.331691742311845,0.11878462459699646,True,True,True,387,ok
450.0,80,50,272.5273642590275,0.2,8.0,1.3258836540339576,10.175,0.3848436768056239,0.12359605892952409,True,True,True,407,ok
500.0,80,50,272.5273642590275,0.2,8.0,1.4878938721747585,10.425,0.4215113255663977,0.12587471813933962,True,True,True,417,ok
550.0,80,50,272.5273642590275,0.2,8.0,1.6014801001366918,10.55,0.44831414685593374,0.1269833573394561,True,True,True,422,ok
600.0,80,50,272.5273642590275,0.2,8.0,1.6883756223733655,10.625,0.46930317339077043,0.1276389011571416,True,True,True,425,ok
650.0,80,50,272.5273642590275,0.2,8.0,1.7444533358870138,10.625,0.4848906105461702,0.1276389011571416,True,True,True,425,ok
700.0,80,50,272.5273642590275,0.2,8.0,1.7922795958932196,10.625,0.49818446251542176,0.1276389011571416,True,True,True,425,ok
750.0,80,50,272.5273642590275,0.2,8.0,1.8256235680879738,10.6,0.508649620798459,0.12742118394193697,True,True,True,424,ok
800.0,80,50,272.5273642590275,0.2,8.0,1.8540338349427343,10.575,0.5177863962572917,0.12720267018330852,True,True,True,423,ok
850.0,80,50,272.5273642590275,0.2,8.0,1.8697028671144889,10.525,0.5246429558396746,0.12676324287211102,True,True,True,421,ok
900.0,80,50,272.5273642590275,0.2,8.0,1.8818848331776055,10.475,0.5305818224666138,0.12632059893294384,True,True,True,419,ok
950.0,80,50,272.5273642590275,0.2,8.0,1.8910873962566803,10.425,0.535733609812486,0.12587471813933962,True,True,True,417,ok
1000.0,80,50,272.5273642590275,0.2,8.0,1.9046446152991272,10.4,0.5408713414619741,0.12565055762081787,True,True,True,416,ok
1050.0,80,50,272.5273642590275,0.2,8.0,1.9090237234199023,10.35,0.5447338109831831,0.125199783780625,True,True,True,414,ok
1100.0,80,50,272.5273642590275,0.2,8.0,1.9114986145362576,10.3,0.5480877802986607,0.12474572285260745,True,True,True,412,ok
1150.0,80,50,272.5273642590275,0.2,8.0,1.9136659831796423,10.25,0.5513858646093824,0.12428835489833641,True,True,True,410,ok
1200.0,80,50,272.5273642590275,0.2,8.0,1.9130390578033682,10.2,0.5539072145924316,0.12382766008093313,True,True,True,408,ok
1250.0,80,50,272.5273642590275,0.2,8.0,1.9111576269343702,10.15,0.5560883827549512,0.12336361867413072,True,True,True,406,ok
1300.0,80,50,272.5273642590275,0.2,8.0,1.9081782382711947,10.1,0.5579700929791401,0.12289621107162219,True,True,True,404,ok
1350.0,80,50,272.5273642590275,0.2,8.0,1.9042354709624714,10.05,0.5595874237932473,0.12242541779670005,True,True,True,402,ok
1400.0,80,50,272.5273642590275,0.2,8.0,1.9058729603638112,10.025,0.5614653038462674,0.12218874548348982,True,True,True,401,ok
1450.0,80,50,272.5273642590275,0.2,8.0,1.9015569485311885,9.975,0.5630018068511358,0.12171283748915335,True,True,True,399,ok
1500.0,80,50,272.5273642590275,0.2,8.0,1.8952979525967963,9.925,0.5639756256075409,0.12123349576360819,True,True,True,397,ok
1550.0,80,50,272.5273642590275,0.2,8.0,1.8959830457561762,9.9,0.5656041814911943,0.12099253132522686,True,True,True,396,ok
1600.0,80,50,272.5273642590275,0.2,8.0,1.8885689609026388,9.85,0.5662522931962319,0.12050800353987798,True,True,True,394,ok
1650.0,80,50,272.5273642590275,0.2,8.0,1.8881099556249683,9.825,0.5675551643378896,0.12026443552437426,True,True,True,393,ok
1700.0,80,50,272.5273642590275,0.2,8.0,1.8797824422575722,9.775,0.5679422523209355,0.1197746796667202,True,True,True,391,ok
1750.0,80,50,272.5273642590275,0.2,8.0,1.878399255700896,9.75,0.5689795381647762,0.11952848722986248,True,True,True,390,ok
1800.0,80,50,272.5273642590275,0.2,8.0,1.8693462869958541,9.7,0.5691560833098298,0.11903346195205262,True,True,True,388,ok
1850.0,80,50,272.5273642590275,0.2,8.0,1.8672119708286408,9.675,0.5699752607870735,0.11878462459699646,True,True,True,387,ok
1900.0,80,50,272.5273642590275,0.2,8.0,1.8647311367023542,9.65,0.5706926324341346,0.11853490111218953,True,True,True,386,ok
1950.0,80,50,272.5273642590275,0.2,8.0,1.85483311050667,9.6,0.5706199658771828,0.11803278688524592,True,True,True,384,ok
2000.0,80,50,272.5273642590275,0.2,8.0,1.8517980299730776,9.575,0.5711736866374257,0.117780391747528,True,True,True,383,ok
2050.0,80,50,272.5273642590275,0.2,8.0,1.8485018263479602,9.55,0.5716495540917257,0.11752710168972795,True,True,True,382,ok
2100.0,80,50,272.5273642590275,0.2,8.0,1.8449678946114074,9.525,0.5720542091133737,0.11727291455439268,True,True,True,381,ok
2150.0,80,50,272.5273642590275,0.2,8.0,1.8400628968352708,9.5,0.5720347598635441,0.11701782820097244,True,True,True,380,ok
2200.0,80,50,272.5273642590275,0.2,8.0,1.83612169921214,9.475,0.5723156226438806,0.11676184050625708,True,True,True,379,ok
400.0,80,50,272.5273642590275,0.3,8.0,1.1414120494631048,9.825,0.3431020006966977,0.18039665328656135,True,True,True,393,ok
450.0,80,50,272.5273642590275,0.3,8.0,1.3843509545457786,10.3,0.3969376886079537,0.18711858427891112,True,True,True,412,ok
500.0,80,50,272.5273642590275,0.3,8.0,1.5527963052192166,10.55,0.4346857327518344,0.1904750360091841,True,True,True,422,ok
550.0,80,50,272.5273642590275,0.3,8.0,1.6617623195763376,10.65,0.46082141803188764,0.19178373656103365,True,True,True,426,ok
600.0,80,50,272.5273642590275,0.3,8.0,1.743854332081718,10.7,0.48132651173129626,0.19243094851252168,True,True,True,428,ok
650.0,80,50,272.5273642590275,0.3,8.0,1.8071638118062692,10.725,0.4976380471098882,0.1927527832956874,True,True,True,429,ok
700.0,80,50,272.5273642590275,0.3,8.0,1.8484424596181608,10.7,0.510194197334101,0.1924309485125217,True,True,True,428,ok
750.0,80,50,272.5273642590275,0.3,8.0,1.880621218346757,10.675,0.5202915884678287,0.19210793421112704,True,True,True,427,ok
800.0,80,50,272.5273642590275,0.3,8.0,1.9018204243600427,10.625,0.5286325794712148,0.1914583517357124,True,True,True,425,ok
