A,x_match,q,compactness_2M_over_R,branch
23.0,4.0,2,3.329451965570404,horizon_interior_static_caution
23.2,4.0,2,3.358403721792755,horizon_interior_static_caution
23.400000000000002,4.0,2,3.387355478015107,horizon_interior_static_caution
23.6,4.0,2,3.416307234237458,horizon_interior_static_caution
23.8,4.0,2,3.445258990459809,horizon_interior_static_caution
24.0,4.0,2,3.4742107466821603,horizon_interior_static_caution
0.2,5.0,2,0.026584789110422113,subcompact
0.4,5.0,2,0.05316957822084423,subcompact
0.6000000000000001,5.0,2,0.07975436733126635,subcompact
0.8,5.0,2,0.10633915644168845,subcompact
1.0,5.0,2,0.13292394555211057,subcompact
1.2,5.0,2,0.1595087346625327,subcompact
1.4000000000000001,5.0,2,0.18609352377295482,subcompact
1.6,5.0,2,0.2126783128833769,subcompact
1.8,5.0,2,0.23926310199379905,subcompact
2.0,5.0,2,0.26584789110422113,subcompact
2.2,5.0,2,0.2924326802146433,subcompact
2.4000000000000004,5.0,2,0.3190174693250654,subcompact
2.6000000000000005,5.0,2,0.3456022584354876,subcompact
2.8000000000000003,5.0,2,0.37218704754590964,subcompact
3.0000000000000004,5.0,2,0.39877183665633176,subcompact
3.2,5.0,2,0.4253566257667538,subcompact
3.4000000000000004,5.0,2,0.451941414877176,subcompact
3.6000000000000005,5.0,2,0.4785262039875981,subcompact
3.8000000000000003,5.0,2,0.5051109930980202,subcompact
4.0,5.0,2,0.5316957822084423,subcompact
4.2,5.0,2,0.5582805713188644,subcompact
4.4,5.0,2,0.5848653604292866,subcompact
4.6000000000000005,5.0,2,0.6114501495397088,subcompact
4.800000000000001,5.0,2,0.6380349386501308,subcompact
5.000000000000001,5.0,2,0.664619727760553,subcompact
5.2,5.0,2,0.691204516870975,subcompact
5.4,5.0,2,0.7177893059813971,subcompact
5.6000000000000005,5.0,2,0.7443740950918193,subcompact
5.800000000000001,5.0,2,0.7709588842022415,subcompact
6.000000000000001,5.0,2,0.7975436733126635,subcompact
6.2,5.0,2,0.8241284624230856,compact_below_horizon
6.4,5.0,2,0.8507132515335076,compact_below_horizon
6.6000000000000005,5.0,2,0.8772980406439298,compact_below_horizon
6.800000000000001,5.0,2,0.903882829754352,compact_below_horizon
7.000000000000001,5.0,2,0.9304676188647741,compact_below_horizon
7.2,5.0,2,0.9570524079751962,compact_below_horizon
7.4,5.0,2,0.9836371970856184,horizon_near_ECO_branch
7.6000000000000005,5.0,2,1.0102219861960404,horizon_interior_static_caution
7.800000000000001,5.0,2,1.0368067753064627,horizon_interior_static_caution
8.0,5.0,2,1.0633915644168845,horizon_interior_static_caution
8.2,5.0,2,1.0899763535273066,horizon_interior_static_caution
8.4,5.0,2,1.1165611426377289,horizon_interior_static_caution
8.6,5.0,2,1.143145931748151,horizon_interior_static_caution
8.799999999999999,5.0,2,1.169730720858573,horizon_interior_static_caution
9.0,5.0,2,1.196315509968995,horizon_interior_static_caution
9.2,5.0,2,1.2229002990794173,horizon_interior_static_caution
9.4,5.0,2,1.2494850881898394,horizon_interior_static_caution
9.6,5.0,2,1.2760698773002617,horizon_interior_static_caution
9.8,5.0,2,1.3026546664106837,horizon_interior_static_caution
10.0,5.0,2,1.3292394555211058,horizon_interior_static_caution
10.2,5.0,2,1.3558242446315278,horizon_interior_static_caution
10.4,5.0,2,1.38240903374195,horizon_interior_static_caution
10.6,5.0,2,1.4089938228523722,horizon_interior_static_caution
10.8,5.0,2,1.4355786119627942,horizon_interior_static_caution
11.0,5.0,2,1.4621634010732163,horizon_interior_static_caution
11.2,5.0,2,1.4887481901836384,horizon_interior_static_caution
11.4,5.0,2,1.5153329792940606,horizon_interior_static_caution
11.6,5.0,2,1.5419177684044827,horizon_interior_static_caution
11.8,5.0,2,1.568502557514905,horizon_interior_static_caution
12.0,5.0,2,1.595087346625327,horizon_interior_static_caution
12.2,5.0,2,1.621672135735749,horizon_interior_static_caution
12.4,5.0,2,1.6482569248461711,horizon_interior_static_caution
12.6,5.0,2,1.6748417139565934,horizon_interior_static_caution
12.8,5.0,2,1.7014265030670153,horizon_interior_static_caution
13.0,5.0,2,1.7280112921774375,horizon_interior_static_caution
13.2,5.0,2,1.7545960812878596,horizon_interior_static_caution
13.4,5.0,2,1.7811808703982819,horizon_interior_static_caution
13.6,5.0,2,1.807765659508704,horizon_interior_static_caution
13.8,5.0,2,1.8343504486191262,horizon_interior_static_caution
14.0,5.0,2,1.8609352377295483,horizon_interior_static_caution
14.2,5.0,2,1.88752002683997,horizon_interior_static_caution
14.4,5.0,2,1.9141048159503924,horizon_interior_static_caution
14.6,5.0,2,1.9406896050608144,horizon_interior_static_caution
14.8,5.0,2,1.9672743941712367,horizon_interior_static_caution
15.0,5.0,2,1.9938591832816588,horizon_interior_static_caution
15.2,5.0,2,2.020443972392081,horizon_interior_static_caution
15.4,5.0,2,2.047028761502503,horizon_interior_static_caution
15.6,5.0,2,2.073613550612925,horizon_interior_static_caution
15.8,5.0,2,2.1001983397233475,horizon_interior_static_caution
16.0,5.0,2,2.126783128833769,horizon_interior_static_caution
16.2,5.0,2,2.153367917944191,horizon_interior_static_caution
16.4,5.0,2,2.179952707054613,horizon_interior_static_caution
16.6,5.0,2,2.2065374961650357,horizon_interior_static_caution
16.8,5.0,2,2.2331222852754578,horizon_interior_static_caution
17.0,5.0,2,2.25970707438588,horizon_interior_static_caution
17.2,5.0,2,2.286291863496302,horizon_interior_static_caution
17.4,5.0,2,2.312876652606724,horizon_interior_static_caution
17.6,5.0,2,2.3394614417171464,horizon_interior_static_caution
17.8,5.0,2,2.3660462308275685,horizon_interior_static_caution
18.0,5.0,2,2.39263101993799,horizon_interior_static_caution
18.2,5.0,2,2.419215809048412,horizon_interior_static_caution
18.4,5.0,2,2.4458005981588347,horizon_interior_static_caution
18.6,5.0,2,2.4723853872692567,horizon_interior_static_caution
18.8,5.0,2,2.4989701763796788,horizon_interior_static_caution
19.0,5.0,2,2.525554965490101,horizon_interior_static_caution
19.2,5.0,2,2.5521397546005233,horizon_interior_static_caution
19.400000000000002,5.0,2,2.5787245437109454,horizon_interior_static_caution
19.6,5.0,2,2.6053093328213675,horizon_interior_static_caution
19.8,5.0,2,2.6318941219317895,horizon_interior_static_caution
20.0,5.0,2,2.6584789110422116,horizon_interior_static_caution
20.2,5.0,2,2.6850637001526336,horizon_interior_static_caution
20.400000000000002,5.0,2,2.711648489263056,horizon_interior_static_caution
20.6,5.0,2,2.738233278373478,horizon_interior_static_caution
20.8,5.0,2,2.7648180674839,horizon_interior_static_caution
21.0,5.0,2,2.7914028565943223,horizon_interior_static_caution
21.2,5.0,2,2.8179876457047444,horizon_interior_static_caution
21.400000000000002,5.0,2,2.8445724348151664,horizon_interior_static_caution
21.6,5.0,2,2.8711572239255885,horizon_interior_static_caution
21.8,5.0,2,2.897742013036011,horizon_interior_static_caution
22.0,5.0,2,2.9243268021464326,horizon_interior_static_caution
22.2,5.0,2,2.9509115912568546,horizon_interior_static_caution
22.400000000000002,5.0,2,2.977496380367277,horizon_interior_static_caution
22.6,5.0,2,3.004081169477699,horizon_interior_static_caution
22.8,5.0,2,3.0306659585881213,horizon_interior_static_caution
23.0,5.0,2,3.0572507476985433,horizon_interior_static_caution
23.2,5.0,2,3.0838355368089654,horizon_interior_static_caution
23.400000000000002,5.0,2,3.110420325919388,horizon_interior_static_caution
23.6,5.0,2,3.13700511502981,horizon_interior_static_caution
23.8,5.0,2,3.163589904140232,horizon_interior_static_caution
24.0,5.0,2,3.190174693250654,horizon_interior_static_caution
0.2,3.0,4,0.02215052832737484,subcompact
0.4,3.0,4,0.04430105665474968,subcompact
0.6000000000000001,3.0,4,0.06645158498212453,subcompact
0.8,3.0,4,0.08860211330949937,subcompact
1.0,3.0,4,0.1107526416368742,subcompact
1.2,3.0,4,0.13290316996424906,subcompact
1.4000000000000001,3.0,4,0.1550536982916239,subcompact
1.6,3.0,4,0.17720422661899873,subcompact
1.8,3.0,4,0.19935475494637359,subcompact
2.0,3.0,4,0.2215052832737484,subcompact
2.2,3.0,4,0.2436558116011233,subcompact
2.4000000000000004,3.0,4,0.2658063399284981,subcompact
2.6000000000000005,3.0,4,0.287956868255873,subcompact
2.8000000000000003,3.0,4,0.3101073965832478,subcompact
3.0000000000000004,3.0,4,0.33225792491062267,subcompact
3.2,3.0,4,0.35440845323799747,subcompact
3.4000000000000004,3.0,4,0.3765589815653724,subcompact
3.6000000000000005,3.0,4,0.39870950989274717,subcompact
3.8000000000000003,3.0,4,0.420860038220122,subcompact
4.0,3.0,4,0.4430105665474968,subcompact
4.2,3.0,4,0.46516109487487173,subcompact
4.4,3.0,4,0.4873116232022466,subcompact
4.6000000000000005,3.0,4,0.5094621515296215,subcompact
