r_km,m_msun,epsilon_MeVfm3,p_MeVfm3,phi_raw,f_metric,compactness_2m_r,Phi,gtt_minus
1.575,0.017038424517225932,1136.192667626471,287.88843445581443,0.014506203303827016,0.968050634834859,0.03194936516514107,-0.7953347527306028,-0.20378912811683936
1.6,0.017844195282969,1134.2282407462453,287.23362549573926,0.014966438241487773,0.9670625220809472,0.03293747791905273,-0.794874517792942,-0.20397679622836018
1.625,0.01867409576910865,1132.2376696948952,286.5701018119559,0.015433664217782247,0.9660609584865248,0.033939041513475106,-0.7944072918166476,-0.20416749182794
1.65,0.019528415461070044,1130.2211654677328,285.89793373623513,0.015907869238376542,0.9650460373027019,0.034953962697298106,-0.7939330867960533,-0.20436121817876096
1.675,0.020407440105766776,1128.1789413181252,285.21719235303254,0.016389041126573318,0.9640178528050555,0.035982147194944525,-0.7934519149078565,-0.20455797858560296
1.7,0.02131145167840698,1126.1112127151448,284.52794948537246,0.016877167523520843,0.9629765002759679,0.03702349972403211,-0.792963788510909,-0.20475777639442677
1.725,0.02224072835027877,1124.0181973008903,283.83027768062095,0.017372235888428397,0.9619220759868234,0.038077924013176584,-0.7924687201460014,-0.20496061499195153
1.75,0.02319554445752062,1121.9001148474931,283.1242501961552,0.017874233498788104,0.9608546771800692,0.03914532281993072,-0.7919667225356417,-0.2051664978052252
1.775,0.024176170470881327,1119.7571872138205,282.409940984931,0.01838314745060337,0.9597744020511458,0.040225597948854185,-0.7914578085838265,-0.20537542830118863
1.8,0.0251828729664745,1117.5896383018899,281.6874246809541,0.01889896465862401,0.9586813497302908,0.04131865026970916,-0.7909419913758058,-0.20558740998623384
1.825,0.026215914597531607,1115.3976940130049,280.9567765846591,0.019421671856588243,0.9575756202642235,0.04242437973577647,-0.7904192841778416,-0.20580244640575512
1.85,0.027275554067157672,1113.1815822036276,280.21807264820006,0.019951255597471625,0.9564573145977129,0.04354268540228711,-0.7898897004369583,-0.20602054114369442
1.875,0.028362046102092957,1110.9415326409996,279.47138946065735,0.020487702253743103,0.955326534555036,0.04467346544496401,-0.7893532537806868,-0.20624169782208016
1.9,0.02947564142748404,1108.677776958523,278.7168042331652,0.02103099801762828,0.9541833828213313,0.04581661717866873,-0.7888099580168015,-0.20646592010055945
1.925,0.030616586742666943,1106.3905486109186,277.95439478396366,0.02158112890138006,0.953027962923852,0.04697203707614804,-0.7882598271330498,-0.20669321167592428
1.95,0.03178512469796485,1104.0800828291685,277.18423952338037,0.02213808073755675,0.951860379213125,0.04813962078687496,-0.7877028752968731,-0.20692357628163138
1.975,0.03298149387250249,1101.7466165752605,276.40641743874437,0.02270183917930782,0.9506807368440208,0.04931926315597926,-0.7871391168551221,-0.20715701768731562
2.0,0.03420592875303898,1099.3903884967465,275.6210080792397,0.023272389700667383,0.949489141756738,0.05051085824326191,-0.7865685663337625,-0.20739353969829705
2.025,0.035458659713820506,1097.011638881124,274.82809154069884,0.023849717596855568,0.9482857006577115,0.05171429934228857,-0.7859912384375742,-0.20763314615508188
2.05,0.03673991299745377,1094.610609610062,274.02774845034486,0.02443380798458791,0.9470705210004434,0.05292947899955658,-0.7854071480498419,-0.20787584093285696
2.075,0.03804991069680111,1092.1875441134741,273.2200599514822,0.025024645802392876,0.9458437109662696,0.05415628903373036,-0.784816310232037,-0.2081216279409782
2.1,0.039388870737897375,1089.7426873234597,272.405107688144,0.025622215810937675,0.94460537944506,0.05539462055493999,-0.7842187402234921,-0.20837051112245264
2.125,0.0407570068638887,1087.2762856281233,271.5829737896986,0.026226502593362466,0.9433556360158624,0.056644363984137684,-0.7836144534410674,-0.2086224944534141
2.15,0.04215452861999273,1084.788586825284,270.75374085541887,0.026837490555623116,0.942094590927493,0.057905409072506915,-0.7830034654788067,-0.20887758194259304
2.175,0.043581641339479574,1082.2798400760907,269.9174919390211,0.02745516392684261,0.940822355079081,0.05917764492091905,-0.7823857921075872,-0.2091357776307799
2.2,0.045038546130672485,1079.7502958585517,269.07431053317475,0.02807950675967127,0.9395390400005678,0.06046095999943222,-0.7817614492747585,-0.20939708559028225
2.225,0.04652543986496673,1077.200205920999,268.2242805539905,0.028710502930655905,0.9382447578331727,0.06175524216682721,-0.7811304531037739,-0.20966150992437613
2.25,0.048042515165864996,1074.629823235489,267.3674863254872,0.029348136140618,0.9369396213098247,0.06306037869017528,-0.7804928198938118,-0.20992905476675083
2.275,0.04958996039902725,1072.039401951166,266.50401256404615,0.029992389915041124,0.9356237437355674,0.06437625626443258,-0.7798485661193887,-0.2101997242809478
2.3,0.05116795966333251,1069.4291973475881,265.6339443628535,0.030643247604467624,0.9342972389679437,0.06570276103205626,-0.7791977084299623,-0.2104735226597934
2.325,0.05277669278294984,1066.7994657880388,264.7573671763371,0.03130069238490477,0.9329602213973632,0.0670397786026368,-0.7785402636495251,-0.21075045412482574
2.35,0.054416335300415494,1064.150464672829,263.87436680460047,0.0319647072582405,0.9316128059274582,0.06838719407254176,-0.7778762487761893,-0.21103052292571514
2.375,0.05608705847071275,1061.4824523926084,262.98502937786026,0.03263527505266879,0.9302551079554342,0.06974489204456576,-0.777205680981761,-0.21131373333967893
