eps_c_MeVfm3,p_c_MeVfm3,B_MeVfm3,Delta_MeV,mu_ref_MeV,epsilon_surface_MeVfm3,pair_pressure_MeVfm3,M_msun,R_km,compactness_2M_R,max_compactness_inside,surface_f_metric,n_steps,status
700.0,176.6301809879633,90,100,400.0,170.10945703611,63.29684765463,2.3225832842219853,12.925,0.5307061262222839,0.5307061262222839,0.46929387377771614,517,ok
750.0,193.29684765462997,90,100,400.0,170.10945703611,63.29684765463,2.325746918764552,12.825,0.5355727070493606,0.5355727070493606,0.46442729295063945,513,ok
800.0,209.96351432129666,90,100,400.0,170.10945703611,63.29684765463,2.331355025339388,12.75,0.5400221654834777,0.5400221654834777,0.4599778345165223,510,ok
850.0,226.6301809879633,90,100,400.0,170.10945703611,63.29684765463,2.325784155419963,12.65,0.5429905091216546,0.5429905091216546,0.4570094908783454,506,ok
900.0,243.29684765462997,90,100,400.0,170.10945703611,63.29684765463,2.3250994110213066,12.575,0.5460682034027617,0.5460682034027617,0.45393179659723826,503,ok
950.0,259.96351432129666,90,100,400.0,170.10945703611,63.29684765463,2.3219879492119837,12.5,0.5486094764073967,0.5486094764073967,0.45139052359260334,500,ok
1000.0,276.6301809879633,90,100,400.0,170.10945703611,63.29684765463,2.3168388012348164,12.425,0.5506970843933521,0.5506970843933522,0.4493029156066478,497,ok
1050.0,293.29684765462997,90,100,400.0,170.10945703611,63.29684765463,2.3099716080506987,12.35,0.5523992001224682,0.5523992001224685,0.44760079987753154,494,ok
1100.0,309.96351432129666,90,100,400.0,170.10945703611,63.29684765463,2.3016506235672995,12.275,0.5537723364839181,0.5537723364839181,0.4462276635160819,491,ok
1150.0,326.6301809879633,90,100,400.0,170.10945703611,63.29684765463,2.2992593013116625,12.225,0.5554595537134812,0.5554595537134812,0.4445404462865188,489,ok
1200.0,343.29684765463,90,100,400.0,170.10945703611,63.29684765463,2.2885783411031375,12.15,0.5562920612119491,0.5562920612119492,0.4437079387880508,486,ok
1250.0,359.96351432129666,90,100,400.0,170.10945703611,63.29684765463,2.284021957624419,12.1,0.5574786774345193,0.5574786774345193,0.4425213225654807,484,ok
1300.0,376.63018098796334,90,100,400.0,170.10945703611,63.29684765463,2.2716159520543457,12.025,0.5579087610921784,0.5579087610921785,0.44209123890782154,481,ok
1350.0,393.29684765463,90,100,400.0,170.10945703611,63.29684765463,2.2654432769923942,11.975,0.5587158954305036,0.5587158954305036,0.4412841045694964,479,ok
1400.0,409.96351432129666,90,100,400.0,170.10945703611,63.29684765463,2.2585882896256546,11.925,0.559360817075599,0.559360817075599,0.44063918292440096,477,ok
1450.0,426.63018098796334,90,100,400.0,170.10945703611,63.29684765463,2.2511385599062264,11.875,0.5598632558703476,0.5598632558703476,0.4401367441296524,475,ok
1500.0,443.29684765463,90,100,400.0,170.10945703611,63.29684765463,2.2431696719222436,11.825,0.5602402818389853,0.5602402818389853,0.43975971816101467,473,ok
1550.0,459.96351432129666,90,100,400.0,170.10945703611,63.29684765463,2.2347470783926524,11.775,0.5605067138493349,0.5605067138493348,0.4394932861506652,471,ok
1600.0,476.63018098796334,90,100,400.0,170.10945703611,63.29684765463,2.225927633652321,11.725,0.5606754577480882,0.5606754577480882,0.43932454225191175,469,ok
1650.0,493.29684765463,90,100,400.0,170.10945703611,63.29684765463,2.2167608666743286,11.675,0.5607577874238971,0.5607577874238973,0.43924221257610274,467,ok
1700.0,509.96351432129666,90,100,400.0,170.10945703611,63.29684765463,2.207290042835716,11.625,0.5607635794538328,0.5607635794538327,0.4392364205461673,465,ok
1750.0,526.6301809879633,90,100,400.0,170.10945703611,63.29684765463,2.202924768434562,11.6,0.5608607305472716,0.5608607305472716,0.4391392694527284,464,ok
1800.0,543.29684765463,90,100,400.0,170.10945703611,63.29684765463,2.1939832378704693,11.55,0.5610023463201265,0.5610023463201265,0.43899765367987353,462,ok
1850.0,559.9635143212967,90,100,400.0,170.10945703611,63.29684765463,2.1837652116809716,11.5,0.5608173739865241,0.5608173739865241,0.4391826260134759,460,ok
